"city_state","city_or_county","state","incidents","victims_killed","victims_injured","victims_harmed","lat","long"
"Washington District of Columbia","Washington","District of Columbia",10,8,44,52,38.8950368,-77.0365427
"Wichita Kansas","Wichita","Kansas",1,0,9,9,37.6922361,-97.3375448
"Wiggins Mississippi","Wiggins","Mississippi",1,1,3,4,30.858244,-89.1353283
"Williamston North Carolina","Williamston","North Carolina",1,0,5,5,35.8546039,-77.0555114
"Willowbrook Illinois","Willowbrook","Illinois",1,1,22,23,41.7697533,-87.9358931
"Wilmington Delaware","Wilmington","Delaware",1,0,4,4,39.7459468,-75.546589
"Wilson North Carolina","Wilson","North Carolina",1,0,4,4,35.7059114,-77.9175714
"Winston Salem (Winston-salem) North Carolina","Winston Salem (Winston-salem)","North Carolina",2,1,8,9,36.0895154,-80.2239737306511
"Woodbridge Virginia","Woodbridge","Virginia",1,3,1,4,38.6581723,-77.2497049
"Ypsilanti Michigan","Ypsilanti","Michigan",1,2,2,4,42.2410562,-83.613055
"Yuma Arizona","Yuma","Arizona",2,2,10,12,32.665135,-114.476031572498
